City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
131,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,100,75,7.25,broken clouds
132,Quelimane,MZ,-17.8786,36.8883,73.35,88,75,12.66,light intensity drizzle
133,Fairbanks,US,64.8378,-147.7164,-8.39,76,0,0.0,clear sky
134,Ribeira Grande,PT,38.5167,-28.7,58.77,92,73,5.99,broken clouds
135,Kamensk-Uralskiy,RU,56.4185,61.9329,7.59,96,100,3.31,overcast clouds
136,Esna,EG,25.2934,32.554,55.42,45,58,5.39,broken clouds
137,Yinchuan,CN,38.4681,106.2731,14.88,14,32,1.1,scattered clouds
138,Kahului,US,20.8947,-156.47,77.85,86,40,3.44,scattered clouds
139,Sayyan,YE,15.1718,44.3244,52.7,34,0,4.32,clear sky
140,Aswan,EG,24.0934,32.907,63.7,42,0,3.44,clear sky
141,Uyemskiy,RU,64.4743,40.8524,23.05,100,100,0.0,mist
142,Vila Velha,BR,-20.3297,-40.2925,75.15,94,75,11.5,broken clouds
143,Souillac,MU,-20.5167,57.5167,80.98,65,20,8.05,few clouds
144,Tuatapere,NZ,-46.1333,167.6833,50.56,69,96,14.7,overcast clouds
145,Moron,AR,-34.6534,-58.6198,80.49,66,50,8.57,scattered clouds
146,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.0,87,100,8.1,light rain
147,Port-Gentil,GA,-0.7193,8.7815,75.92,88,100,9.17,light rain
148,Santa Rosa,PH,14.3122,121.1114,88.02,71,60,14.23,broken clouds
149,Pevek,RU,69.7008,170.3133,4.68,95,100,12.86,light snow
150,Touros,BR,-5.1989,-35.4608,76.87,75,73,7.45,broken clouds
151,Camana,PE,-16.6228,-72.7111,66.52,87,74,5.86,broken clouds
152,Ossora,RU,59.2353,163.0719,22.6,93,76,9.26,snow
153,Bukama,CD,-9.2,25.85,67.86,98,100,4.09,overcast clouds
154,Severo-Kurilsk,RU,50.6789,156.125,37.45,97,100,8.75,light rain
155,Beyneu,KZ,45.3167,55.2,24.76,43,1,10.25,clear sky
156,Saskylakh,RU,71.9167,114.0833,-25.56,100,100,6.42,overcast clouds
157,Nhulunbuy,AU,-12.2333,136.7667,83.01,74,75,12.66,light rain
158,Alepe,CI,5.5004,-3.6631,80.47,95,70,0.94,broken clouds
159,Airai,TL,-8.9266,125.4092,74.57,56,65,3.87,broken clouds
160,Lagoa,PT,39.05,-27.9833,62.04,70,93,8.68,overcast clouds
161,Novyy Urengoy,RU,66.0833,76.6333,-6.77,100,62,3.11,broken clouds
162,Sept-Iles,CA,50.2001,-66.3821,14.0,72,0,6.91,clear sky
163,Norman Wells,CA,65.282,-126.8329,-29.16,75,75,0.0,broken clouds
164,Te Anau,NZ,-45.4167,167.7167,50.38,86,74,6.53,broken clouds
165,Timmins,CA,48.4669,-81.3331,31.82,86,100,14.97,light snow
166,Takoradi,GH,4.8845,-1.7554,77.67,84,73,1.92,broken clouds
167,Aras,ES,42.5617,-2.356,39.76,87,0,4.61,clear sky
168,Mbandaka,CD,0.0487,18.2603,69.71,98,100,1.36,light rain
169,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,47.73,40,94,3.38,overcast clouds
170,Bandarbeyla,SO,9.4942,50.8122,79.14,67,16,16.82,few clouds
171,Dhidhdhoo,MV,6.8833,73.1,81.3,70,55,3.53,broken clouds
172,Faanui,PF,-16.4833,-151.75,79.63,76,21,11.14,light rain
173,Batticaloa,LK,7.7102,81.6924,79.52,74,84,5.86,broken clouds
174,Mbanza-Ngungu,CD,-5.25,14.8667,64.87,98,100,3.15,overcast clouds
175,Lavrentiya,RU,65.5833,-171.0,30.99,99,100,11.25,snow
176,Surgut,RU,61.25,73.4167,-3.82,76,20,7.0,few clouds
177,Goya,AR,-29.14,-59.2626,74.7,45,0,7.11,clear sky
178,Isangel,VU,-19.55,169.2667,84.74,70,42,3.87,scattered clouds
179,Tiarei,PF,-17.5333,-149.3333,80.62,79,14,11.72,few clouds
180,Lasa,IT,46.6166,10.7002,40.08,94,59,4.72,broken clouds
181,Ulladulla,AU,-35.35,150.4667,66.83,60,2,13.58,clear sky
182,Methoni,GR,36.8197,21.7049,55.22,85,99,18.41,overcast clouds
183,Valleyview,CA,55.0667,-117.2859,-5.76,77,100,8.05,overcast clouds
184,Upernavik,GL,72.7868,-56.1549,5.52,95,100,14.83,light snow
185,Evansville,US,37.9748,-87.5558,59.02,91,100,6.91,heavy intensity rain
186,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,77,100,12.66,overcast clouds
187,Joao Pinheiro,BR,-17.7425,-46.1725,65.84,87,6,2.71,clear sky
188,Aloleng,PH,16.1307,119.7824,88.61,61,69,8.23,broken clouds
189,Talnakh,RU,69.4865,88.3972,-9.85,99,100,2.51,overcast clouds
190,Bilma,NE,18.6853,12.9164,59.27,47,2,8.52,clear sky
191,Mount Gambier,AU,-37.8333,140.7667,61.3,59,93,7.2,overcast clouds
192,Sungairaya,ID,0.7,108.9,87.44,64,97,4.85,overcast clouds
193,Cardston,CA,49.2,-113.3019,-1.91,77,98,1.14,overcast clouds
194,Thinadhoo,MV,0.5333,72.9333,80.98,72,83,6.49,broken clouds
195,Kyabe,TD,9.4515,18.9449,71.02,27,99,4.9,overcast clouds
196,Constitucion,CL,-35.3333,-72.4167,54.27,95,47,11.83,scattered clouds
197,Guerrero Negro,MX,27.9769,-114.0611,59.23,76,48,9.24,scattered clouds
198,Chumikan,RU,54.7183,135.315,-3.03,65,100,23.17,overcast clouds
199,Portland,US,45.5234,-122.6762,46.44,87,100,15.01,light rain
200,Tual,ID,-5.6667,132.75,80.37,83,100,17.58,light rain
201,Ketchikan,US,55.3422,-131.6461,23.47,36,40,13.8,scattered clouds
202,Khanu Woralaksaburi,TH,16.0617,99.8606,84.09,75,100,5.19,overcast clouds
203,Vadgaon,IN,20.9402,74.8712,77.88,34,37,7.02,scattered clouds
204,Talcahuano,CL,-36.7167,-73.1167,56.88,88,40,10.36,scattered clouds
205,Valparaiso,CL,-33.0393,-71.6273,60.44,82,100,5.75,overcast clouds
206,Goure,NE,13.9835,10.2704,58.39,35,38,7.61,scattered clouds
207,Palafrugell,ES,41.9174,3.1631,50.47,77,15,10.18,few clouds
208,Zyryanka,RU,65.75,150.85,-33.79,100,95,4.14,overcast clouds
209,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,87,100,20.13,snow
210,Port Lincoln,AU,-34.7333,135.8667,63.57,59,21,10.94,few clouds
211,Tarbagatay,RU,51.4803,107.3602,4.53,62,100,13.98,overcast clouds
212,Inirida,CO,3.8653,-67.9239,72.03,98,99,3.0,overcast clouds
213,Conceicao Do Araguaia,BR,-8.2578,-49.2647,69.75,99,99,4.36,overcast clouds
214,Vardo,NO,70.3705,31.1107,31.98,86,40,23.02,scattered clouds
215,Rio Grande,BR,-32.035,-52.0986,69.33,92,11,14.58,few clouds
216,Tukrah,LY,32.5341,20.5791,60.78,76,97,10.51,light rain
217,Torbay,CA,47.6666,-52.7314,27.39,75,75,10.36,broken clouds
218,Faya,SA,18.3851,42.4509,59.52,54,2,1.61,clear sky
219,Celestun,MX,20.8667,-90.4,78.21,77,67,13.49,broken clouds
220,Jacareacanga,BR,-6.2222,-57.7528,71.56,98,81,2.53,broken clouds
221,Alice Springs,AU,-23.7,133.8833,83.75,17,0,12.66,clear sky
222,Luis Correia,BR,-2.8792,-41.6669,76.15,86,88,4.32,overcast clouds
223,La Ronge,CA,55.1001,-105.2842,-9.15,70,100,11.5,light snow
224,Lebu,CL,-37.6167,-73.65,53.44,80,90,19.33,overcast clouds
225,Sorland,NO,67.667,12.6934,40.86,81,100,17.16,overcast clouds
226,Kaeo,NZ,-35.1,173.7833,67.32,82,11,11.25,few clouds
227,Nome,US,64.5011,-165.4064,19.47,79,75,12.66,broken clouds
228,Umm Lajj,SA,25.0213,37.2685,74.86,48,4,7.76,clear sky
