City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,San Pedro,PH,87.26,overcast clouds,14.35,121.0167,Hotel Takara
279,Sotouboua,TG,71.24,broken clouds,8.5667,0.9833,Verger
280,Palu,ID,85.84,overcast clouds,-0.8917,119.8707,Ujung Pandang Hotel
282,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Horisun
283,Mareeba,AU,77.72,moderate rain,-17.0,145.4333,The Gateway Hotel
284,Bitung,ID,85.05,broken clouds,1.4451,125.1824,Divers Lodge Lembeh
286,Conde,BR,74.66,few clouds,-7.2597,-34.9075,Paladino
287,Santa Cruz,BO,81.86,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
292,Tevaitoa,PF,79.79,few clouds,-16.7833,-151.5,Chambre d'hote
293,Anori,BR,72.91,broken clouds,-3.7728,-61.6442,NOVO HOTEL
296,Acapulco,MX,75.02,broken clouds,16.8634,-99.8901,Hotel del Valle
300,Diamantino,BR,73.89,few clouds,-14.4086,-56.4461,Hotel kayaby
305,Tungi,BD,84.2,haze,23.89,90.4058,Hotel Holiday Inn হোটেল হলিডে ইন
306,Caravelas,BR,75.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
308,Victoria,HK,75.38,broken clouds,22.2855,114.1577,四季酒店 Four Seasons Hotel
312,Port Blair,IN,86.04,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
316,Itarema,BR,75.72,overcast clouds,-2.9248,-39.9167,Pousada Oásis
319,Ternate,ID,84.51,few clouds,0.8,127.4,Boulivard ternate
321,Sambava,MG,78.03,clear sky,-14.2667,50.1667,Royal Sava Hôtel
343,Cap Malheureux,MU,81.46,overcast clouds,-19.9842,57.6142,Cape Garden
346,Bubaque,GW,80.04,light rain,11.2833,-15.8333,Chez Julio
357,Esperance,AU,77.38,overcast clouds,-33.8667,121.9,Best Western
363,Sarh,TD,73.38,overcast clouds,9.1429,18.3923,فندق سفاري
371,Sur,OM,81.07,clear sky,22.5667,59.5289,Sur Hotel
372,Brookhaven,US,73.06,clear sky,31.5791,-90.4407,The Inn aon Whitworth
373,Charlestown,AU,72.01,broken clouds,-32.95,151.6667,Warners Bay Hotel
374,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
383,Banda Aceh,ID,83.66,overcast clouds,5.5577,95.3222,Hotel 61
386,Broken Hill,AU,79.02,clear sky,-31.95,141.4333,Ibis Styles
390,Axim,GH,77.13,broken clouds,4.8699,-2.2405,Axim Beach Hotel
394,Chone,EC,72.52,overcast clouds,-0.6833,-80.1,Atahualpa de oro
399,Lorengau,PG,85.69,broken clouds,-2.0226,147.2712,Seeadler Bay Hotel
400,Dunmore Town,BS,78.96,overcast clouds,25.5,-76.65,The Landing Hotel & Restaurant
401,Yeppoon,AU,73.18,overcast clouds,-23.1333,150.7333,Blossom's on Seaspray
402,Sharjah,AE,80.58,clear sky,25.3573,55.4033,shakeel bhai room
403,Teahupoo,PF,75.16,scattered clouds,-17.8333,-149.2667,Vanira Lodge
404,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
406,Puerto Escondido,MX,78.46,broken clouds,15.85,-97.0667,Hotel Barlovento
407,Garissa,KE,81.0,light rain,-0.4536,39.6401,Hiddig Hotel
418,Kupang,ID,81.18,broken clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
428,Knysna,ZA,74.93,clear sky,-34.0363,23.0471,Graywood Hotel
431,Progreso,MX,75.31,scattered clouds,21.2833,-89.6667,Centro Vacacional Obrero CTM
437,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
450,Sagua La Grande,CU,74.39,moderate rain,22.8067,-80.0756,Hotel Telégrafo
453,Imphal,IN,78.71,haze,24.8167,93.95,Phou-Oi-Bee Hotel
455,Rabaul,PG,84.27,overcast clouds,-4.1967,152.1721,Rabaul Hotel
456,Velasco Ibarra,EC,76.05,overcast clouds,-1.05,-79.6167,Hidalgo
460,Conakry,GN,79.39,light rain,9.538,-13.6773,Hotel del Fanta (sleazy but rooms for 100k or even less)
462,Gubbi,IN,78.15,few clouds,13.3106,76.9444,Sri Rudreshwara Comforts
463,Narrabri,AU,81.34,moderate rain,-30.3167,149.7833,Tattersall's Hotel
464,Bathsheba,BB,77.61,light intensity shower rain,13.2167,-59.5167,Atlantis Hotel
465,Hoa Binh,VN,82.83,broken clouds,20.8133,105.3383,Hải Dương
481,Tagusao,PH,85.84,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
484,Yulara,AU,88.14,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
485,Cacoal,BR,76.73,overcast clouds,-11.4386,-61.4472,Cacoal Palace Hotel
493,Vavuniya,LK,89.13,broken clouds,8.7514,80.4971,Vanniyan Hotel
